mart_catering.dim_common_xmd_city mart_catering.app_dim_xz_city
mart_catering.app_dim_xz_city mart_catering.app_dim_geohash6_xz_city
mart_catering.app_dim_xz_city mart_catering.app_dim_xz_city_cate_catering_consume_rank
mart_catering.app_dim_xz_city mart_catering.app_dim_xz_poi_category_geo_detail
mart_catering.app_dim_xz_city mart_catering.app_fact_xz_lianjia_community_poi_geo_full 
mart_catering.app_dim_xz_city mart_catering.app_fact_xz_population_city_business_area 
mart_catering.app_dim_xz_city mart_catering.app_fact_xz_population_city_district 
mart_catering.app_dim_xz_city mart_catering.app_fact_xz_population_city_geohash
mart_catering.app_dim_xz_city mart_catering.app_fact_xz_shopping_mall_poi_geo_full
mart_catering.app_dim_xz_city mart_catering.app_fact_xz_siwei_poi_geo_full
mart_catering.app_dim_xz_city mart_catering.app_fact_xz_subway_poi_geo_full
mart_catering.app_dim_xz_city mart_catering.app_fact_xz_xmd_user_location_d
mart_catering.app_dim_xz_city mart_catering.app_mining_xz_city_catering_category_location_recommend
mart_catering.app_dim_xz_city mart_catering.app_xz_catering_poi_popular_dish
mart_catering.app_dim_xz_poi_category_map mart_catering.app_dim_xz_city_cate_catering_consume_rank
mart_catering.app_dim_xz_poi_geo_full mart_catering.app_dim_xz_city_cate_catering_consume_rank
mart_catering.dim_common_xmd_poi_ss mart_catering.app_dim_xz_city_cate_catering_consume_rank
catering.app_dim_xz_poi_category_map mart_catering.app_dim_xz_poi_category_map
mart_catering.dim_xmd_poi_geo_full mart_catering.app_dim_xz_poi_geo_full
mart_catering.dim_common_dp_poi_ss mart_catering.dim_xmd_poi_geo_full
mart_catering.dim_common_xmd_city mart_catering.dim_xmd_poi_geo_full
mart_catering.ods_poiop__stage_poi_ss mart_catering.dim_xmd_poi_geo_full
mart_catering.dim_common_dp_poi_ss mart_catering.dim_common_xmd_poi_ss
mart_catering.dim_common_mt_poi_ss mart_catering.dim_common_xmd_poi_ss
mart_catering.dim_common_org_unit_ss mart_catering.dim_common_xmd_poi_ss
mart_catering.dim_relation_mt_dp_poi_mapping_ss mart_catering.dim_common_xmd_poi_ss
mart_catering.app_dim_xz_city_cate_catering_consume_rank mart_catering.app_dim_xz_poi_category_geo_detail
mart_catering.app_dim_xz_city_cate_catering_consume_rank mart_catering.app_xz_user_location_cate_consuming_ability
mart_catering.app_fact_xz_lianjia_community_poi_geo_full mart_catering.app_dim_xz_poi_category_geo_detail
mart_catering.app_fact_xz_poi_popularity mart_catering.app_dim_xz_poi_category_geo_detail
mart_catering.app_fact_xz_shopping_mall_poi_geo_full mart_catering.app_dim_xz_poi_category_geo_detail
mart_catering.app_fact_xz_siwei_poi_geo_full mart_catering.app_dim_xz_poi_category_geo_detail
mart_catering.app_fact_xz_subway_poi_geo_full mart_catering.app_dim_xz_poi_category_geo_detail
mart_catering.app_dim_xz_poi_category_geo_detail mart_catering.app_fact_xz_city_catering_category_blacklist
mart_catering.app_dim_xz_poi_category_geo_detail mart_catering.app_fact_xz_poi_stat_cate_business_area
mart_catering.app_dim_xz_poi_category_geo_detail mart_catering.app_fact_xz_poi_stat_cate_district
mart_catering.dim_lianjia_community mart_catering.app_fact_xz_lianjia_community_poi_geo_full
mart_catering.dim_common_xmd_city mart_catering.dim_lianjia_community
origin_cis.spider3__spider_lianjia_community mart_catering.dim_lianjia_community
mart_catering.app_fact_xz_catering_poi_visit_d mart_catering.app_fact_xz_poi_popularity
mart_catering.dim_common_xmd_poi_ss mart_catering.app_fact_xz_poi_popularity
mart_catering.app_dim_xz_poi_geo_full mart_catering.app_fact_xz_shopping_mall_poi_geo_ful
mart_catering.dim_common_xmd_poi_ss mart_catering.app_fact_xz_shopping_mall_poi_geo_full
origindb.poiop__sm_poi_relation mart_catering.app_fact_xz_shopping_mall_poi_geo_full
mart_catering.app_dim_xz_poi_category_geo_detail mart_catering.app_fact_xz_city_catering_category_blacklist
mart_catering.app_dim_xz_poi_category_geo_detail mart_catering.app_fact_xz_poi_stat_cate_business_area
mart_catering.app_dim_xz_poi_category_geo_detail mart_catering.app_fact_xz_poi_stat_cate_district
mart_catering.app_fact_xz_city_catering_category_blacklist mart_catering.app_fact_xz_city_catering_category_blacklist_to_tair
mart_catering.app_fact_xz_xmd_user_location mart_catering.app_fact_xz_population_city_business_area
mart_catering.dim_lianjia_community mart_catering.app_fact_xz_population_city_business_area
mart_catering.app_fact_xz_xmd_user_location_detail_d mart_catering.app_fact_xz_xmd_user_location
mart_catering.app_fact_xz_xmd_user_location_d mart_catering.app_fact_xz_xmd_user_location_detail_d
ba_ups.dp_dpid_userid_mapping mart_catering.app_fact_xz_xmd_user_location_d
ba_ups.dp_traffic_position_hourly mart_catering.app_fact_xz_xmd_user_location_d
ba_ups.mt_user_location_daily mart_catering.app_fact_xz_xmd_user_location_d
origin_cis.spider3__spider_lianjia_community mart_catering.dim_lianjia_community
